+----------------------------------------------------+----------+-------------------------------------------------+--------------------------------------------------------------------------------+----------------------------------------------------------------+
| Registry name                                      | Meta/dmg | Display name                                    | Ore Dict Keys                                                                  | NBT                                                            |
| abyssalcraft:antipork                              |        0 | Anti-Pork                                       | listAllFood                                                                    |                                                                |
| abyssalcraft:antispidereye                         |        0 | Anti-Spider Eye                                 | listAllFood                                                                    |                                                                |
| abyssalcraft:antiwater                             |        0 | Liquid Antimatter                               | liquidAntimatter                                                               |                                                                |
| abyssalcraft:beefp                                 |        0 | Beef on A Plate                                 | listAllFood                                                                    |                                                                |
| abyssalcraft:cbrick                                |        0 | Coralium Brick                                  | ingotCoraliumBrick                                                             |                                                                |
| abyssalcraft:charcoal                              |        0 | Cha'rcoal                                       | coal                                                                           |                                                                |
| abyssalcraft:chickenp                              |        0 | Chicken on A Plate                              | listAllFood                                                                    |                                                                |
| abyssalcraft:cingot                                |        0 | §bRefined Coralium Ingot                        | ingotLiquifiedCoralium                                                         |                                                                |
| abyssalcraft:copperingot                           |        0 | Copper Ingot                                    | ingotCopper                                                                    |                                                                |
| abyssalcraft:coralium                              |        0 | Coralium Gem                                    | gemCoralium                                                                    |                                                                |
| abyssalcraft:coraliumore                           |        0 | Coralium Ore                                    | oreCoralium                                                                    |                                                                |
| abyssalcraft:coraliumstone                         |        0 | Coralium Infused Stone                          | oreCoraliumStone                                                               |                                                                |
| abyssalcraft:corbone                               |        0 | Coralium-plagued Flesh on a Bone                | listAllFood                                                                    |                                                                |
| abyssalcraft:corflesh                              |        0 | Coralium-plagued Flesh                          | listAllFood                                                                    |                                                                |
| abyssalcraft:cpearl                                |        0 | §bCoralium Pearl                                | materialCoraliumPearl                                                          |                                                                |
| abyssalcraft:crystal                               |        0 | Crystallized Iron                               | crystalIron                                                                    |                                                                |
| abyssalcraft:crystal                               |        1 | Crystallized Gold                               | crystalGold                                                                    |                                                                |
| abyssalcraft:crystal                               |        2 | Crystallized Sulfur                             | crystalSulfur                                                                  |                                                                |
| abyssalcraft:crystal                               |        3 | Crystallized Carbon                             | crystalCarbon                                                                  |                                                                |
| abyssalcraft:crystal                               |        4 | Crystallized Oxygen                             | crystalOxygen                                                                  |                                                                |
| abyssalcraft:crystal                               |        5 | Crystallized Hydrogen                           | crystalHydrogen                                                                |                                                                |
| abyssalcraft:crystal                               |        6 | Crystallized Nitrogen                           | crystalNitrogen                                                                |                                                                |
| abyssalcraft:crystal                               |        7 | Crystallized Phosphorus                         | crystalPhosphorus                                                              |                                                                |
| abyssalcraft:crystal                               |        8 | Crystallized Potassium                          | crystalPotassium                                                               |                                                                |
| abyssalcraft:crystal                               |        9 | Crystallized Nitrate                            | crystalNitrate                                                                 |                                                                |
| abyssalcraft:crystal                               |       10 | Crystallized Methane                            | crystalMethane                                                                 |                                                                |
| abyssalcraft:crystal                               |       11 | Crystallized Redstone                           | crystalRedstone                                                                |                                                                |
| abyssalcraft:crystal                               |       12 | Crystallized Abyssalnite                        | crystalAbyssalnite                                                             |                                                                |
| abyssalcraft:crystal                               |       13 | Crystallized Coralium                           | crystalCoralium                                                                |                                                                |
| abyssalcraft:crystal                               |       14 | Crystallized Dreadium                           | crystalDreadium                                                                |                                                                |
| abyssalcraft:crystal                               |       15 | Crystallized Blaze                              | crystalBlaze                                                                   |                                                                |
| abyssalcraft:crystal                               |       16 | Crystallized Tin                                | crystalTin                                                                     |                                                                |
| abyssalcraft:crystal                               |       17 | Crystallized Copper                             | crystalCopper                                                                  |                                                                |
| abyssalcraft:crystal                               |       18 | Crystallized Silicon                            | crystalSilicon                                                                 |                                                                |
| abyssalcraft:crystal                               |       19 | Crystallized Magnesium                          | crystalMagnesium                                                               |                                                                |
| abyssalcraft:crystal                               |       20 | Crystallized Aluminium                          | crystalAluminium                                                               |                                                                |
| abyssalcraft:crystal                               |       21 | Crystallized Silica                             | crystalSilica                                                                  |                                                                |
| abyssalcraft:crystal                               |       22 | Crystallized Alumina                            | crystalAlumina                                                                 |                                                                |
| abyssalcraft:crystal                               |       23 | Crystallized Magnesia                           | crystalMagnesia                                                                |                                                                |
| abyssalcraft:crystal                               |       24 | Crystallized Zinc                               | crystalZinc                                                                    |                                                                |
| abyssalcraft:crystal                               |       25 | Crystallized Calcium                            | crystalCalcium                                                                 |                                                                |
| abyssalcraft:crystal                               |       26 | Crystallized Beryllium                          | crystalBeryllium                                                               |                                                                |
| abyssalcraft:crystal                               |       27 | Crystallized Beryl                              | crystalBeryl                                                                   |                                                                |
| abyssalcraft:crystalcluster                        |        0 | Crystallized Iron Cluster                       | crystalClusterIron                                                             |                                                                |
| abyssalcraft:crystalcluster                        |        1 | Crystallized Gold Cluster                       | crystalClusterGold                                                             |                                                                |
| abyssalcraft:crystalcluster                        |        2 | Crystallized Sulfur Cluster                     | crystalClusterSulfur                                                           |                                                                |
| abyssalcraft:crystalcluster                        |        3 | Crystallized Carbon Cluster                     | crystalClusterCarbon                                                           |                                                                |
| abyssalcraft:crystalcluster                        |        4 | Crystallized Oxygen Cluster                     | crystalClusterOxygen                                                           |                                                                |
| abyssalcraft:crystalcluster                        |        5 | Crystallized Hydrogen Cluster                   | crystalClusterHydrogen                                                         |                                                                |
| abyssalcraft:crystalcluster                        |        6 | Crystallized Nitrogen Cluster                   | crystalClusterNitrogen                                                         |                                                                |
| abyssalcraft:crystalcluster                        |        7 | Crystallized Phosphorus Cluster                 | crystalClusterPhosphorus                                                       |                                                                |
| abyssalcraft:crystalcluster                        |        8 | Crystallized Potassium Cluster                  | crystalClusterPotassium                                                        |                                                                |
| abyssalcraft:crystalcluster                        |        9 | Crystallized Nitrate Cluster                    | crystalClusterNitrate                                                          |                                                                |
| abyssalcraft:crystalcluster                        |       10 | Crystallized Methane Cluster                    | crystalClusterMethane                                                          |                                                                |
| abyssalcraft:crystalcluster                        |       11 | Crystallized Redstone Cluster                   | crystalClusterRedstone                                                         |                                                                |
| abyssalcraft:crystalcluster                        |       12 | Crystallized Abyssalnite Cluster                | crystalClusterAbyssalnite                                                      |                                                                |
| abyssalcraft:crystalcluster                        |       13 | Crystallized Coralium Cluster                   | crystalClusterCoralium                                                         |                                                                |
| abyssalcraft:crystalcluster                        |       14 | Crystallized Dreadium Cluster                   | crystalClusterDreadium                                                         |                                                                |
| abyssalcraft:crystalcluster                        |       15 | Crystallized Blaze Cluster                      | crystalClusterBlaze                                                            |                                                                |
| abyssalcraft:crystalcluster2                       |        0 | Crystallized Tin Cluster                        | crystalClusterTin                                                              |                                                                |
| abyssalcraft:crystalcluster2                       |        1 | Crystallized Copper Cluster                     | crystalClusterCopper                                                           |                                                                |
| abyssalcraft:crystalcluster2                       |        2 | Crystallized Silicon Cluster                    | crystalClusterSilicon                                                          |                                                                |
| abyssalcraft:crystalcluster2                       |        3 | Crystallized Magnesium Cluster                  | crystalClusterMagnesium                                                        |                                                                |
| abyssalcraft:crystalcluster2                       |        4 | Crystallized Aluminium Cluster                  | crystalClusterAluminium                                                        |                                                                |
| abyssalcraft:crystalcluster2                       |        5 | Crystallized Silica Cluster                     | crystalClusterSilica                                                           |                                                                |
| abyssalcraft:crystalcluster2                       |        6 | Crystallized Alumina Cluster                    | crystalClusterAlumina                                                          |                                                                |
| abyssalcraft:crystalcluster2                       |        7 | Crystallized Magnesia Cluster                   | crystalClusterMagnesia                                                         |                                                                |
| abyssalcraft:crystalcluster2                       |        8 | Crystallized Zinc Cluster                       | crystalClusterZinc                                                             |                                                                |
| abyssalcraft:crystalcluster2                       |        9 | Crystallized Calcium Cluster                    | crystalClusterCalcium                                                          |                                                                |
| abyssalcraft:crystalcluster2                       |       10 | Crystallized Beryllium Cluster                  | crystalClusterBeryllium                                                        |                                                                |
| abyssalcraft:crystalcluster2                       |       11 | Crystallized Beryl Cluster                      | crystalClusterBeryl                                                            |                                                                |
| abyssalcraft:crystalfragment                       |        0 | Crystallized Iron Fragment                      | crystalFragmentIron                                                            |                                                                |
| abyssalcraft:crystalfragment                       |        1 | Crystallized Gold Fragment                      | crystalFragmentGold                                                            |                                                                |
| abyssalcraft:crystalfragment                       |        2 | Crystallized Sulfur Fragment                    | crystalFragmentSulfur                                                          |                                                                |
| abyssalcraft:crystalfragment                       |        3 | Crystallized Carbon Fragment                    | crystalFragmentCarbon                                                          |                                                                |
| abyssalcraft:crystalfragment                       |        4 | Crystallized Oxygen Fragment                    | crystalFragmentOxygen                                                          |                                                                |
| abyssalcraft:crystalfragment                       |        5 | Crystallized Hydrogen Fragment                  | crystalFragmentHydrogen                                                        |                                                                |
| abyssalcraft:crystalfragment                       |        6 | Crystallized Nitrogen Fragment                  | crystalFragmentNitrogen                                                        |                                                                |
| abyssalcraft:crystalfragment                       |        7 | Crystallized Phosphorus Fragment                | crystalFragmentPhosphorus                                                      |                                                                |
| abyssalcraft:crystalfragment                       |        8 | Crystallized Potassium Fragment                 | crystalFragmentPotassium                                                       |                                                                |
| abyssalcraft:crystalfragment                       |        9 | Crystallized Nitrate Fragment                   | crystalFragmentNitrate                                                         |                                                                |
| abyssalcraft:crystalfragment                       |       10 | Crystallized Methane Fragment                   | crystalFragmentMethane                                                         |                                                                |
| abyssalcraft:crystalfragment                       |       11 | Crystallized Redstone Fragment                  | crystalFragmentRedstone                                                        |                                                                |
| abyssalcraft:crystalfragment                       |       12 | Crystallized Abyssalnite Fragment               | crystalFragmentAbyssalnite                                                     |                                                                |
| abyssalcraft:crystalfragment                       |       13 | Crystallized Coralium Fragment                  | crystalFragmentCoralium                                                        |                                                                |
| abyssalcraft:crystalfragment                       |       14 | Crystallized Dreadium Fragment                  | crystalFragmentDreadium                                                        |                                                                |
| abyssalcraft:crystalfragment                       |       15 | Crystallized Blaze Fragment                     | crystalFragmentBlaze                                                           |                                                                |
| abyssalcraft:crystalfragment                       |       16 | Crystallized Tin Fragment                       | crystalFragmentTin                                                             |                                                                |
| abyssalcraft:crystalfragment                       |       17 | Crystallized Copper Fragment                    | crystalFragmentCopper                                                          |                                                                |
| abyssalcraft:crystalfragment                       |       18 | Crystallized Silicon Fragment                   | crystalFragmentSilicon                                                         |                                                                |
| abyssalcraft:crystalfragment                       |       19 | Crystallized Magnesium Fragment                 | crystalFragmentMagnesium                                                       |                                                                |
| abyssalcraft:crystalfragment                       |       20 | Crystallized Aluminium Fragment                 | crystalFragmentAluminium                                                       |                                                                |
| abyssalcraft:crystalfragment                       |       21 | Crystallized Silica Fragment                    | crystalFragmentSilica                                                          |                                                                |
| abyssalcraft:crystalfragment                       |       22 | Crystallized Alumina Fragment                   | crystalFragmentAlumina                                                         |                                                                |
| abyssalcraft:crystalfragment                       |       23 | Crystallized Magnesia Fragment                  | crystalFragmentMagnesia                                                        |                                                                |
| abyssalcraft:crystalfragment                       |       24 | Crystallized Zinc Fragment                      | crystalFragmentZinc                                                            |                                                                |
| abyssalcraft:crystalfragment                       |       25 | Crystallized Calcium Fragment                   | crystalFragmentCalcium                                                         |                                                                |
| abyssalcraft:crystalfragment                       |       26 | Crystallized Beryllium Fragment                 | crystalFragmentBeryllium                                                       |                                                                |
| abyssalcraft:crystalfragment                       |       27 | Crystallized Beryl Fragment                     | crystalFragmentBeryl                                                           |                                                                |
| abyssalcraft:crystalshard                          |        0 | Crystallized Iron Shard                         | crystalShardIron                                                               |                                                                |
| abyssalcraft:crystalshard                          |        1 | Crystallized Gold Shard                         | crystalShardGold                                                               |                                                                |
| abyssalcraft:crystalshard                          |        2 | Crystallized Sulfur Shard                       | crystalShardSulfur                                                             |                                                                |
| abyssalcraft:crystalshard                          |        3 | Crystallized Carbon Shard                       | crystalShardCarbon                                                             |                                                                |
| abyssalcraft:crystalshard                          |        4 | Crystallized Oxygen Shard                       | crystalShardOxygen                                                             |                                                                |
| abyssalcraft:crystalshard                          |        5 | Crystallized Hydrogen Shard                     | crystalShardHydrogen                                                           |                                                                |
| abyssalcraft:crystalshard                          |        6 | Crystallized Nitrogen Shard                     | crystalShardNitrogen                                                           |                                                                |
| abyssalcraft:crystalshard                          |        7 | Crystallized Phosphorus Shard                   | crystalShardPhosphorus                                                         |                                                                |
| abyssalcraft:crystalshard                          |        8 | Crystallized Potassium Shard                    | crystalShardPotassium                                                          |                                                                |
| abyssalcraft:crystalshard                          |        9 | Crystallized Nitrate Shard                      | crystalShardNitrate                                                            |                                                                |
| abyssalcraft:crystalshard                          |       10 | Crystallized Methane Shard                      | crystalShardMethane                                                            |                                                                |
| abyssalcraft:crystalshard                          |       11 | Crystallized Redstone Shard                     | crystalShardRedstone                                                           |                                                                |
| abyssalcraft:crystalshard                          |       12 | Crystallized Abyssalnite Shard                  | crystalShardAbyssalnite                                                        |                                                                |
| abyssalcraft:crystalshard                          |       13 | Crystallized Coralium Shard                     | crystalShardCoralium                                                           |                                                                |
| abyssalcraft:crystalshard                          |       14 | Crystallized Dreadium Shard                     | crystalShardDreadium                                                           |                                                                |
| abyssalcraft:crystalshard                          |       15 | Crystallized Blaze Shard                        | crystalShardBlaze                                                              |                                                                |
| abyssalcraft:crystalshard                          |       16 | Crystallized Tin Shard                          | crystalShardTin                                                                |                                                                |
| abyssalcraft:crystalshard                          |       17 | Crystallized Copper Shard                       | crystalShardCopper                                                             |                                                                |
| abyssalcraft:crystalshard                          |       18 | Crystallized Silicon Shard                      | crystalShardSilicon                                                            |                                                                |
| abyssalcraft:crystalshard                          |       19 | Crystallized Magnesium Shard                    | crystalShardMagnesium                                                          |                                                                |
| abyssalcraft:crystalshard                          |       20 | Crystallized Aluminium Shard                    | crystalShardAluminium                                                          |                                                                |
| abyssalcraft:crystalshard                          |       21 | Crystallized Silica Shard                       | crystalShardSilica                                                             |                                                                |
| abyssalcraft:crystalshard                          |       22 | Crystallized Alumina Shard                      | crystalShardAlumina                                                            |                                                                |
| abyssalcraft:crystalshard                          |       23 | Crystallized Magnesia Shard                     | crystalShardMagnesia                                                           |                                                                |
| abyssalcraft:crystalshard                          |       24 | Crystallized Zinc Shard                         | crystalShardZinc                                                               |                                                                |
| abyssalcraft:crystalshard                          |       25 | Crystallized Calcium Shard                      | crystalShardCalcium                                                            |                                                                |
| abyssalcraft:crystalshard                          |       26 | Crystallized Beryllium Shard                    | crystalShardBeryllium                                                          |                                                                |
| abyssalcraft:crystalshard                          |       27 | Crystallized Beryl Shard                        | crystalShardBeryl                                                              |                                                                |
| abyssalcraft:cwater                                |        0 | Liquid Coralium                                 | liquidCoralium                                                                 |                                                                |
| abyssalcraft:dltfence                              |        0 | Darklands Oak Wood Fence                        | fenceWood                                                                      |                                                                |
| abyssalcraft:dltleaves                             |        0 | Darklands Oak Leaves                            | treeLeaves                                                                     |                                                                |
| abyssalcraft:dltlog                                |        0 | Darklands Oak Wood                              | logWood                                                                        |                                                                |
| abyssalcraft:dltlog2                               |        0 | Darklands Oak Wood                              | logWood                                                                        |                                                                |
| abyssalcraft:dltplank                              |        0 | Darklands Oak Wood Planks                       | plankWood                                                                      |                                                                |
| abyssalcraft:dltsapling                            |        0 | Darklands Oak Sapling                           | treeSapling                                                                    |                                                                |
| abyssalcraft:dltslab1                              |        0 | Darklands Oak Wood Slab                         | slabWood                                                                       |                                                                |
| abyssalcraft:dltstairs                             |        0 | Darklands Oak Wood Stairs                       | stairWood                                                                      |                                                                |
| abyssalcraft:door_dlt                              |        0 | Darklands Oak Wood Door                         | doorWood                                                                       |                                                                |
| abyssalcraft:door_drt                              |        0 | Dreadlands Wood Door                            | doorWood                                                                       |                                                                |
| abyssalcraft:dreadiumingot                         |        0 | §4Dreadium Ingot                                | ingotDreadium                                                                  |                                                                |
| abyssalcraft:dreadleaves                           |        0 | Dreadlands Wood Leaves                          | treeLeaves                                                                     |                                                                |
| abyssalcraft:dreadlog                              |        0 | Dreadlands Wood Log                             | logWood                                                                        |                                                                |
| abyssalcraft:dreadore                              |        0 | Dreaded Abyssalnite Ore                         | oreDreadedAbyssalnite                                                          |                                                                |
| abyssalcraft:dreadplanks                           |        0 | Dreadlands Wood Planks                          | plankWood                                                                      |                                                                |
| abyssalcraft:dreadsapling                          |        0 | Dreadlands Wood Sapling                         | treeSapling                                                                    |                                                                |
| abyssalcraft:drtfence                              |        0 | Dreadlands Wood Fence                           | fenceWood                                                                      |                                                                |
| abyssalcraft:eggp                                  |        0 | Fried Egg on A Plate                            | listAllFood                                                                    |                                                                |
| abyssalcraft:ethaxiumingot                         |        0 | §bEthaxium Ingot                                | ingotEthaxium                                                                  |                                                                |
| abyssalcraft:ethbrick                              |        0 | Ethaxium Brick                                  | ingotEthaxiumBrick                                                             |                                                                |
| abyssalcraft:fishp                                 |        0 | Fish on A Plate                                 | listAllFood                                                                    |                                                                |
| abyssalcraft:friedegg                              |        0 | Fried Egg                                       | foodFriedEgg,listAllFood                                                       |                                                                |
| abyssalcraft:ingotblock                            |        0 | §3Block of Abyssalnite                          | blockAbyssalnite                                                               |                                                                |
| abyssalcraft:ingotblock                            |        1 | §bBlock of Refined Coralium                     | blockLiquifiedCoralium                                                         |                                                                |
