+----------------------------------------------------+--------------------------------------------------------+--------------------------------------+------+
| Mod name                                           | Registry name                                          | Entity class name                    |   ID |
| AbyssalCraft                                       | abyssalcraft:evilchicken                               | EntityEvilChicken                    |   68 |
| AbyssalCraft                                       | abyssalcraft:evilcow                                   | EntityEvilCow                        |   67 |
| AbyssalCraft                                       | abyssalcraft:evilpig                                   | EntityEvilpig                        |   26 |
| AbyssalCraft                                       | abyssalcraft:evilsheep                                 | EntityEvilSheep                      |   72 |
| AbyssalCraft                                       | abyssalcraft:gatekeeperessence                         | EntityGatekeeperEssence              |   71 |
| AbyssalCraft                                       | abyssalcraft:greaterdreadspawn                         | EntityGreaterDreadSpawn              |   63 |
| AbyssalCraft                                       | abyssalcraft:gskeleton                                 | EntitySkeletonGoliath                |   42 |
| AbyssalCraft                                       | abyssalcraft:implosion                                 | EntityImplosion                      |   79 |
| AbyssalCraft                                       | abyssalcraft:inkprojectile                             | EntityInkProjectile                  |   75 |
| AbyssalCraft                                       | abyssalcraft:jzahar                                    | EntityJzahar                         |   29 |
| AbyssalCraft                                       | abyssalcraft:jzaharminion                              | EntityGatekeeperMinion               |   62 |
| AbyssalCraft                                       | abyssalcraft:lesserdreadbeast                          | EntityLesserDreadbeast               |   64 |
| AbyssalCraft                                       | abyssalcraft:lessershoggoth                            | EntityLesserShoggoth                 |   66 |
| AbyssalCraft                                       | abyssalcraft:omotholghoul                              | EntityOmotholGhoul                   |   60 |
| AbyssalCraft                                       | abyssalcraft:powerstonetracker                         | EntityPSDLTracker                    |   33 |
| AbyssalCraft                                       | abyssalcraft:primedodb                                 | EntityODBPrimed                      |   28 |
| AbyssalCraft                                       | abyssalcraft:primedodbcore                             | EntityODBcPrimed                     |   36 |
| AbyssalCraft                                       | abyssalcraft:remnant                                   | EntityRemnant                        |   59 |
| AbyssalCraft                                       | abyssalcraft:shadowbeast                               | EntityShadowBeast                    |   46 |
| AbyssalCraft                                       | abyssalcraft:shadowboss                                | EntitySacthoth                       |   47 |
| AbyssalCraft                                       | abyssalcraft:shadowcreature                            | EntityShadowCreature                 |   37 |
| AbyssalCraft                                       | abyssalcraft:shadowmonster                             | EntityShadowMonster                  |   38 |
| AbyssalCraft                                       | abyssalcraft:shuboffspring                             | EntityShubOffspring                  |   80 |
| AbyssalCraft                                       | abyssalcraft:spirititem                                | EntitySpiritItem                     |   81 |
| Actually Additions                                 | actuallyadditions:worm                                 | EntityWorm                           |    0 |
| Advanced Fishing                                   | advanced-fishing:custom_fish_hook                      | EntityCustomFishHook                 |    0 |
| Advanced Fishing                                   | advanced-fishing:fireproof_item                        | EntityFireproofItem                  |    2 |
| Advanced Fishing                                   | advanced-fishing:lava_fish_hook                        | EntityLavaFishHook                   |    1 |
| Advanced Hook Launchers                            | adhooks:hookshot                                       | HookShot                             |    3 |
| Advanced Rocketry                                  | advancedrocketry:arabducteditem                        | EntityItemAbducted                   |    4 |
| Advanced Rocketry                                  | advancedrocketry:arhovercraft                          | EntityHoverCraft                     |    9 |
| Advanced Rocketry                                  | advancedrocketry:arplanetuibutton                      | EntityUIButton                       |    6 |
| Advanced Rocketry                                  | advancedrocketry:arplanetuiitem                        | EntityUIPlanet                       |    5 |
| Advanced Rocketry                                  | advancedrocketry:arspaceelevatorcapsule                | EntityElevatorCapsule                |    8 |
| Advanced Rocketry                                  | advancedrocketry:arstaruibutton                        | EntityUIStar                         |    7 |
| Advanced Rocketry                                  | advancedrocketry:deployedrocket                        | EntityStationDeployedRocket          |    3 |
| Advanced Rocketry                                  | advancedrocketry:lasernode                             | EntityLaserNode                      |    2 |
| Advanced Rocketry                                  | advancedrocketry:mountdummy                            | EntityDummy                          |    0 |
| Advanced Rocketry                                  | advancedrocketry:rocket                                | EntityRocket                         |    1 |
| Astral Sorcery                                     | astralsorcery:entitycrystal                            | EntityCrystal                        |    2 |
| Astral Sorcery                                     | astralsorcery:entitycrystaltool                        | EntityCrystalTool                    |    7 |
| Astral Sorcery                                     | astralsorcery:entityflare                              | EntityFlare                          |    3 |
| Astral Sorcery                                     | astralsorcery:entitygrapplinghook                      | EntityGrapplingHook                  |    8 |
| Astral Sorcery                                     | astralsorcery:entityhighlighted                        | EntityItemHighlighted                |    0 |
| Astral Sorcery                                     | astralsorcery:entityilluminationspark                  | EntityIlluminationSpark              |    5 |
| Astral Sorcery                                     | astralsorcery:entityitemdamageresistant                | EntityItemExplosionResistant         |   13 |
| Astral Sorcery                                     | astralsorcery:entityliquidspark                        | EntityLiquidSpark                    |   10 |
| Astral Sorcery                                     | astralsorcery:entitynocturnalspark                     | EntityNocturnalSpark                 |    6 |
| Astral Sorcery                                     | astralsorcery:entityobservatoryhelper                  | EntityObservatoryHelper              |   11 |
| Astral Sorcery                                     | astralsorcery:entityshootingstar                       | EntityShootingStar                   |   12 |
| Astral Sorcery                                     | astralsorcery:entityspectraltool                       | EntitySpectralTool                   |    9 |
| Astral Sorcery                                     | astralsorcery:entitystarburst                          | EntityStarburst                      |    4 |
| Astral Sorcery                                     | astralsorcery:entitystardust                           | EntityItemStardust                   |    1 |
| Avaritia                                           | avaritia:endest_pearl                                  | EntityEndestPearl                    |    1 |
| Avaritia                                           | avaritia:gaping_void                                   | EntityGapingVoid                     |    2 |
| Avaritia                                           | avaritia:heaven_arrow                                  | EntityHeavenArrow                    |    3 |
| Avaritia                                           | avaritia:heaven_sub_arrow                              | EntityHeavenSubArrow                 |    4 |
| Better Diving                                      | better_diving:bladderfish                              | EntityBladderfish                    |    2 |
| Better Diving                                      | better_diving:boomerang                                | EntityBoomerang                      |    5 |
| Better Diving                                      | better_diving:garryfish                                | EntityGarryfish                      |    3 |
| Better Diving                                      | better_diving:holefish                                 | EntityHolefish                       |    4 |
| Better Diving                                      | better_diving:peeper                                   | EntityPeeper                         |    1 |
| Better Diving                                      | better_diving:seamoth                                  | EntitySeamoth                        |    0 |
| BiblioCraft                                        | bibliocraft:biblioseat                                 | EntitySeat                           |    0 |
| Biomes O' Plenty                                   | biomesoplenty:bop_boat                                 | EntityBOPBoat                        |    2 |
| Biomes O' Plenty                                   | biomesoplenty:mudball                                  | EntityMudball                        |    1 |
| Biomes O' Plenty                                   | biomesoplenty:wasp                                     | EntityWasp                           |    3 |
| Blood Magic: Alchemical Wizardry                   | bloodmagic:blood_light                                 | EntityBloodLight                     |    1 |
| Blood Magic: Alchemical Wizardry                   | bloodmagic:corrupted_chicken                           | EntityCorruptedChicken               |    9 |
| Blood Magic: Alchemical Wizardry                   | bloodmagic:corrupted_sheep                             | EntityCorruptedSheep                 |    8 |
| Blood Magic: Alchemical Wizardry                   | bloodmagic:corrupted_spider                            | EntityCorruptedSpider                |   10 |
| Blood Magic: Alchemical Wizardry                   | bloodmagic:corrupted_zombie                            | EntityCorruptedZombie                |    7 |
| Blood Magic: Alchemical Wizardry                   | bloodmagic:meteor                                      | EntityMeteor                         |    4 |
| Blood Magic: Alchemical Wizardry                   | bloodmagic:mimic                                       | EntityMimic                          |    6 |
| Blood Magic: Alchemical Wizardry                   | bloodmagic:sentient_specter                            | EntitySentientSpecter                |    5 |
| Blood Magic: Alchemical Wizardry                   | bloodmagic:soul_arrow                                  | EntitySentientArrow                  |    3 |
| Blood Magic: Alchemical Wizardry                   | bloodmagic:soul_snare                                  | EntitySoulSnare                      |    2 |
| Botania                                            | botania:babylon_weapon                                 | EntityBabylonWeapon                  |   17 |
| Botania                                            | botania:corporea_spark                                 | EntityCorporeaSpark                  |   11 |
| Botania                                            | botania:doppleganger                                   | EntityDoppleganger                   |    5 |
| Botania                                            | botania:ender_air_bottle                               | EntityEnderAirBottle                 |   12 |
| Botania                                            | botania:falling_star                                   | EntityFallingStar                    |   18 |
| Botania                                            | botania:flame_ring                                     | EntityFlameRing                      |    3 |
| Botania                                            | botania:magic_landmine                                 | EntityMagicLandmine                  |    6 |
| Botania                                            | botania:magic_missile                                  | EntityMagicMissile                   |    9 |
| Botania                                            | botania:mana_burst                                     | EntityManaBurst                      |    0 |
| Botania                                            | botania:mana_storm                                     | EntityManaStorm                      |   16 |
| Botania                                            | botania:pink_wither                                    | EntityPinkWither                     |   14 |
| Botania                                            | botania:pixie                                          | EntityPixie                          |    2 |
| Botania                                            | botania:player_mover                                   | EntityPlayerMover                    |   15 |
| Botania                                            | botania:pool_minecart                                  | EntityPoolMinecart                   |   13 |
| Botania                                            | botania:signal_flare                                   | EntitySignalFlare                    |    1 |
| Botania                                            | botania:spark                                          | EntitySpark                          |    7 |
| Botania                                            | botania:thorn_chakram                                  | EntityThornChakram                   |   10 |
| Botania                                            | botania:thrown_item                                    | EntityThrownItem                     |    8 |
| Botania                                            | botania:vine_ball                                      | EntityVineBall                       |    4 |
| Bountiful Baubles                                  | bountifulbaubles:bee                                   | EntityBee                            |    2 |
| Bountiful Baubles                                  | bountifulbaubles:beenade                               | EntityBeenade                        |    1 |
| Bountiful Baubles                                  | bountifulbaubles:flare                                 | EntityFlare                          |    3 |
| Bountiful Baubles                                  | bountifulbaubles:grenade                               | EntityGrenade                        |    0 |
| Building Gadgets                                   | buildinggadgets:blockbuildentity                       | BlockBuildEntity                     |    1 |
| Building Gadgets                                   | buildinggadgets:constructionblockentity                | ConstructionBlockEntity              |    2 |
| Camera Mod                                         | camera:image_frame                                     | EntityImage                          | 3635 |
| Chocolate Quest Repoured                           | cqrepoured:boar_mage                                   | EntityCQRBoarmage                    |   44 |
| Chocolate Quest Repoured                           | cqrepoured:boarman                                     | EntityCQRBoarman                     |   30 |
| Chocolate Quest Repoured                           | cqrepoured:bubble_entity                               | EntityBubble                         |   51 |
| Chocolate Quest Repoured                           | cqrepoured:calamity_crystal                            | EntityCalamityCrystal                |   64 |
| Chocolate Quest Repoured                           | cqrepoured:calamity_spawner                            | EntityCalamitySpawner                |   65 |
| Chocolate Quest Repoured                           | cqrepoured:colored_lightning_bolt                      | EntityColoredLightningBolt           |   53 |
| Chocolate Quest Repoured                           | cqrepoured:dummy                                       | EntityCQRDummy                       |   16 |
| Chocolate Quest Repoured                           | cqrepoured:dwarf                                       | EntityCQRDwarf                       |   17 |
| Chocolate Quest Repoured                           | cqrepoured:electric_field_entity                       | EntityElectricField                  |   58 |
| Chocolate Quest Repoured                           | cqrepoured:end_laser                                   | EntityEndLaser                       |   63 |
| Chocolate Quest Repoured                           | cqrepoured:end_targeting_laser                         | EntityEndLaserTargeting              |   62 |
| Chocolate Quest Repoured                           | cqrepoured:ender_calamity                              | EntityCQREnderCalamity               |   60 |
| Chocolate Quest Repoured                           | cqrepoured:ender_king                                  | EntityCQREnderKing                   |   61 |
| Chocolate Quest Repoured                           | cqrepoured:enderman                                    | EntityCQREnderman                    |   18 |
| Chocolate Quest Repoured                           | cqrepoured:exterminator                                | EntityCQRExterminator                |   66 |
| Chocolate Quest Repoured                           | cqrepoured:exterminator_laser                          | EntityExterminatorHandLaser          |   67 |
| Chocolate Quest Repoured                           | cqrepoured:flying_skull                                | EntityFlyingSkullMinion              |   50 |
| Chocolate Quest Repoured                           | cqrepoured:giant_endermite                             | EntityGiantEndermite                 |   37 |
| Chocolate Quest Repoured                           | cqrepoured:giant_silverfish                            | EntityGiantSilverfishNormal          |   38 |
| Chocolate Quest Repoured                           | cqrepoured:giant_silverfish1                           | EntityGiantSilverfishRed             |   39 |
| Chocolate Quest Repoured                           | cqrepoured:giant_silverfish2                           | EntityGiantSilverfishGreen           |   40 |
| Chocolate Quest Repoured                           | cqrepoured:giant_spider                                | EntityCQRGiantSpider                 |   48 |
| Chocolate Quest Repoured                           | cqrepoured:giant_tortoise                              | EntityCQRGiantTortoise               |   42 |
| Chocolate Quest Repoured                           | cqrepoured:goblin                                      | EntityCQRGoblin                      |   20 |
| Chocolate Quest Repoured                           | cqrepoured:golem                                       | EntityCQRGolem                       |   21 |
| Chocolate Quest Repoured                           | cqrepoured:gremlin                                     | EntityCQRGremlin                     |   19 |
| Chocolate Quest Repoured                           | cqrepoured:human                                       | EntityCQRHuman                       |   22 |
| Chocolate Quest Repoured                           | cqrepoured:ice_spike                                   | EntityIceSpike                       |   56 |
| Chocolate Quest Repoured                           | cqrepoured:illager                                     | EntityCQRIllager                     |   23 |
| Chocolate Quest Repoured                           | cqrepoured:illusion_walker_king                        | EntityWalkerKingIllusion             |   52 |
| Chocolate Quest Repoured                           | cqrepoured:lich                                        | EntityCQRLich                        |   43 |
| Chocolate Quest Repoured                           | cqrepoured:mandril                                     | EntityCQRMandril                     |   26 |
| Chocolate Quest Repoured                           | cqrepoured:minotaur                                    | EntityCQRMinotaur                    |   25 |
| Chocolate Quest Repoured                           | cqrepoured:mummy                                       | EntityCQRMummy                       |   27 |
| Chocolate Quest Repoured                           | cqrepoured:necromancer                                 | EntityCQRNecromancer                 |   45 |
| Chocolate Quest Repoured                           | cqrepoured:nether_dragon                               | EntityCQRNetherDragon                |   41 |
| Chocolate Quest Repoured                           | cqrepoured:npc                                         | EntityCQRNPC                         |   24 |
| Chocolate Quest Repoured                           | cqrepoured:ogre                                        | EntityCQROgre                        |   28 |
| Chocolate Quest Repoured                           | cqrepoured:orc                                         | EntityCQROrc                         |   29 |
| Chocolate Quest Repoured                           | cqrepoured:pirate                                      | EntityCQRPirate                      |   31 |
| Chocolate Quest Repoured                           | cqrepoured:pirate_captain                              | EntityCQRPirateCaptain               |   47 |
| Chocolate Quest Repoured                           | cqrepoured:pirate_parrot                               | EntityCQRPirateParrot                |   55 |
| Chocolate Quest Repoured                           | cqrepoured:primedtnt                                   | EntityTNTPrimedCQR                   |   59 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_bubble                           | ProjectileBubble                     |   10 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_bullet                           | ProjectileBullet                     |    1 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_cannon_ball                      | ProjectileCannonBall                 |    2 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_earth_quake                      | ProjectileEarthQuake                 |    3 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_energy_orb                       | ProjectileEnergyOrb                  |   15 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_firewall_part                    | ProjectileFireWallPart               |    7 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_homing_ender_eye                 | ProjectileHomingEnderEye             |   14 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_hookshot_hook                    | ProjectileHookShotHook               |    8 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_hot_fireball                     | ProjectileHotFireball                |   11 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_poison_spell                     | ProjectilePoisonSpell                |    4 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_spider_ball                      | ProjectileSpiderBall                 |    5 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_spider_hook                      | ProjectileSpiderHook                 |    9 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_thrown_block                     | ProjectileThrownBlock                |   13 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_vampiric_spell                   | ProjectileVampiricSpell              |    6 |
| Chocolate Quest Repoured                           | cqrepoured:projectile_web                              | ProjectileWeb                        |   12 |
| Chocolate Quest Repoured                           | cqrepoured:skeleton                                    | EntityCQRSkeleton                    |   32 |
| Chocolate Quest Repoured                           | cqrepoured:slime_part                                  | EntitySlimePart                      |    0 |
| Chocolate Quest Repoured                           | cqrepoured:spectre                                     | EntityCQRSpectre                     |   33 |
| Chocolate Quest Repoured                           | cqrepoured:spider_egg                                  | EntitySpiderEgg                      |   57 |
| Chocolate Quest Repoured                           | cqrepoured:summoning_circle                            | EntitySummoningCircle                |   49 |
| Chocolate Quest Repoured                           | cqrepoured:triton                                      | EntityCQRTriton                      |   34 |
| Chocolate Quest Repoured                           | cqrepoured:walker                                      | EntityCQRWalker                      |   35 |
| Chocolate Quest Repoured                           | cqrepoured:walker_king                                 | EntityCQRWalkerKing                  |   46 |
| Chocolate Quest Repoured                           | cqrepoured:walker_tornado                              | EntityWalkerTornado                  |   54 |
| Chocolate Quest Repoured                           | cqrepoured:zombie                                      | EntityCQRZombie                      |   36 |
| Clumps                                             | clumps:xp_orb_big                                      | EntityXPOrbBig                       |    0 |
| Dark Utilities                                     | darkutils:fake_tnt                                     | EntityFakeTNT                        |    0 |
| Defiled Lands                                      | defiledlands:blastem_fruit                             | EntityBlastemFruit                   |    9 |
| Defiled Lands                                      | defiledlands:blastem_fruit_blazing                     | EntityBlastemFruitBlazing            |   10 |
| Defiled Lands                                      | defiledlands:book_wyrm                                 | EntityBookWyrm                       |    6 |
| Defiled Lands                                      | defiledlands:host                                      | EntityHost                           |    4 |
| Defiled Lands                                      | defiledlands:ravager_projectile                        | EntityRavagerProjectile              |   11 |
| Defiled Lands                                      | defiledlands:scuttler                                  | EntityScuttler                       |    3 |
| Defiled Lands                                      | defiledlands:shambler                                  | EntityShambler                       |    1 |
| Defiled Lands                                      | defiledlands:shambler_twisted                          | EntityShamblerTwisted                |    2 |
| Defiled Lands                                      | defiledlands:slime_defiled                             | EntitySlimeDefiled                   |    5 |
| Defiled Lands                                      | defiledlands:the_destroyer                             | EntityDestroyer                      |    7 |
| Defiled Lands                                      | defiledlands:the_mourner                               | EntityMourner                        |    8 |
| Dimensional Doors                                  | dimdoors:mob_monolith                                  | EntityMonolith                       |    0 |
| Draconic Additions                                 | draconicadditions:chaosheart                           | EntityChaosHeart                     |    2 |
| Draconic Additions                                 | draconicadditions:plug                                 | EntityPlug                           |    1 |
| Draconic Evolution                                 | draconicevolution:chaosguardian                        | EntityChaosGuardian                  |    6 |
| Draconic Evolution                                 | draconicevolution:customarrow                          | EntityCustomArrow                    |   11 |
| Draconic Evolution                                 | draconicevolution:dragonheartitem                      | EntityDragonHeart                    |    5 |
| Draconic Evolution                                 | draconicevolution:enderenergymanipulator               | EntityEnderEnergyManipulator         |   13 |
| Draconic Evolution                                 | draconicevolution:entitychaosenergyvortex              | EntityChaosImplosion                 |   10 |
| Draconic Evolution                                 | draconicevolution:guardiancrystal                      | EntityGuardianCrystal                |    8 |
| Draconic Evolution                                 | draconicevolution:guardianprojectile                   | EntityGuardianProjectile             |    7 |
| Draconic Evolution                                 | draconicevolution:lootcore                             | EntityLootCore                       |   12 |
| Draconic Evolution                                 | draconicevolution:persistentitem                       | EntityPersistentItem                 |    1 |
| Electroblob's Wizardry                             | ebwizardry:arrow_rain                                  | EntityArrowRain                      |   62 |
| Electroblob's Wizardry                             | ebwizardry:black_hole                                  | EntityBlackHole                      |   49 |
| Electroblob's Wizardry                             | ebwizardry:blaze_minion                                | EntityBlazeMinion                    |    5 |
| Electroblob's Wizardry                             | ebwizardry:blizzard                                    | EntityBlizzard                       |   50 |
| Electroblob's Wizardry                             | ebwizardry:boulder                                     | EntityBoulder                        |   70 |
| Electroblob's Wizardry                             | ebwizardry:bubble                                      | EntityBubble                         |   67 |
| Electroblob's Wizardry                             | ebwizardry:combustion_rune                             | EntityCombustionRune                 |   55 |
| Electroblob's Wizardry                             | ebwizardry:conjured_arrow                              | EntityConjuredArrow                  |   30 |
| Electroblob's Wizardry                             | ebwizardry:darkness_orb                                | EntityDarknessOrb                    |   38 |
| Electroblob's Wizardry                             | ebwizardry:dart                                        | EntityDart                           |   27 |
| Electroblob's Wizardry                             | ebwizardry:decay                                       | EntityDecay                          |   58 |
| Electroblob's Wizardry                             | ebwizardry:decoy                                       | EntityDecoy                          |   17 |
| Electroblob's Wizardry                             | ebwizardry:earthquake                                  | EntityEarthquake                     |   63 |
| Electroblob's Wizardry                             | ebwizardry:ember                                       | EntityEmber                          |   42 |
| Electroblob's Wizardry                             | ebwizardry:evil_wizard                                 | EntityEvilWizard                     |   21 |
| Electroblob's Wizardry                             | ebwizardry:fire_sigil                                  | EntityFireSigil                      |   52 |
| Electroblob's Wizardry                             | ebwizardry:firebolt                                    | EntityFirebolt                       |   39 |
| Electroblob's Wizardry                             | ebwizardry:firebomb                                    | EntityFirebomb                       |   31 |
| Electroblob's Wizardry                             | ebwizardry:flamecatcher_arrow                          | EntityFlamecatcherArrow              |   29 |
| Electroblob's Wizardry                             | ebwizardry:force_arrow                                 | EntityForceArrow                     |   26 |
| Electroblob's Wizardry                             | ebwizardry:force_orb                                   | EntityForceOrb                       |   36 |
| Electroblob's Wizardry                             | ebwizardry:forcefield                                  | EntityForcefield                     |   51 |
| Electroblob's Wizardry                             | ebwizardry:frost_sigil                                 | EntityFrostSigil                     |   53 |
| Electroblob's Wizardry                             | ebwizardry:hailstorm                                   | EntityHailstorm                      |   64 |
| Electroblob's Wizardry                             | ebwizardry:healing_aura                                | EntityHealAura                       |   57 |
| Electroblob's Wizardry                             | ebwizardry:husk_minion                                 | EntityHuskMinion                     |    1 |
| Electroblob's Wizardry                             | ebwizardry:ice_barrier                                 | EntityIceBarrier                     |   71 |
| Electroblob's Wizardry                             | ebwizardry:ice_charge                                  | EntityIceCharge                      |   35 |
| Electroblob's Wizardry                             | ebwizardry:ice_giant                                   | EntityIceGiant                       |   14 |
| Electroblob's Wizardry                             | ebwizardry:ice_lance                                   | EntityIceLance                       |   28 |
| Electroblob's Wizardry                             | ebwizardry:ice_shard                                   | EntityIceShard                       |   24 |
| Electroblob's Wizardry                             | ebwizardry:ice_spike                                   | EntityIceSpike                       |   69 |
| Electroblob's Wizardry                             | ebwizardry:ice_wraith                                  | EntityIceWraith                      |    9 |
| Electroblob's Wizardry                             | ebwizardry:iceball                                     | EntityIceball                        |   45 |
| Electroblob's Wizardry                             | ebwizardry:large_magic_fireball                        | EntityLargeMagicFireball             |   44 |
| Electroblob's Wizardry                             | ebwizardry:levitating_block                            | EntityLevitatingBlock                |   48 |
| Electroblob's Wizardry                             | ebwizardry:lightning_arrow                             | EntityLightningArrow                 |   25 |
| Electroblob's Wizardry                             | ebwizardry:lightning_disc                              | EntityLightningDisc                  |   41 |
| Electroblob's Wizardry                             | ebwizardry:lightning_hammer                            | EntityHammer                         |   47 |
| Electroblob's Wizardry                             | ebwizardry:lightning_sigil                             | EntityLightningSigil                 |   54 |
| Electroblob's Wizardry                             | ebwizardry:lightning_wraith                            | EntityLightningWraith                |   10 |
| Electroblob's Wizardry                             | ebwizardry:magic_fireball                              | EntityMagicFireball                  |   43 |
| Electroblob's Wizardry                             | ebwizardry:magic_missile                               | EntityMagicMissile                   |   23 |
| Electroblob's Wizardry                             | ebwizardry:magic_slime                                 | EntityMagicSlime                     |   16 |
| Electroblob's Wizardry                             | ebwizardry:meteor                                      | EntityMeteor                         |   46 |
| Electroblob's Wizardry                             | ebwizardry:phoenix                                     | EntityPhoenix                        |   13 |
| Electroblob's Wizardry                             | ebwizardry:poison_bomb                                 | EntityPoisonBomb                     |   32 |
| Electroblob's Wizardry                             | ebwizardry:radiant_totem                               | EntityRadiantTotem                   |   60 |
| Electroblob's Wizardry                             | ebwizardry:remnant                                     | EntityRemnant                        |   22 |
| Electroblob's Wizardry                             | ebwizardry:ring_of_fire                                | EntityFireRing                       |   56 |
